year,ndvi,temperature,precipitation,radiation,wind_speed
2019,0.36635,40.99250000000001,725.4167496524751,68045262,2.856303154858135
2019,0.38603750000000003,40.05600000000004,725.4167496524751,68045262,2.856303154858135
2019,0.2126,44.156666666666695,755.8506161868572,69055176,2.9072084387054606
2019,0.385025,41.76777777777778,725.4167496524751,68045262,2.856303154858135
2019,0.3197125,45.28750000000002,751.0722855553031,68233550,2.92221950431698
2019,0.3193375,42.841111111111104,751.0722855553031,68233550,2.92221950431698
2019,0.34745000000000004,44.01000000000005,764.2768807560205,68425230,2.9854995374224287
2019,0.3689625,45.10714285714289,764.2768807560205,68425230,2.9854995374224287
2019,0.3409375,45.45857142857142,764.2768807560205,68425230,2.9854995374224287
2019,0.34275,45.844285714285775,748.7935719210654,68425230,2.9854995374224287
2019,0.26127500000000003,45.841428571428594,753.3554196245968,68693644,2.9853437766630746
2019,0.283125,46.055714285714316,740.1100674271584,68693644,2.9853437766630746
2019,0.2937125,42.8944444444445,755.8506161868572,69055176,2.9072084387054606
2019,0.2530375,45.30000000000001,755.8506161868572,69055176,2.9072084387054606
2019,0.38045,43.190000000000055,725.4167496524751,68045262,2.856303154858135
2019,0.347875,43.51888888888891,725.4167496524751,68045262,2.856303154858135
2019,0.2889875,45.02000000000004,751.0722855553031,68233550,2.92221950431698
2019,0.26763750000000003,45.55250000000001,751.0722855553031,68233550,2.92221950431698
2019,0.30595,43.645555555555575,751.0722855553031,68233550,2.92221950431698
2019,0.32380000000000003,43.61888888888893,751.0722855553031,68233550,2.92221950431698
2019,0.27725,43.84333333333336,749.6371726989746,68233550,2.92221950431698
2019,0.2829125,42.360000000000014,749.6371726989746,68233550,2.92221950431698
2019,0.37570000000000003,44.63000000000005,764.2768807560205,68425230,2.9854995374224287
2019,0.3362,44.232500000000016,764.2768807560205,68425230,2.9854995374224287
2019,0.30415000000000003,44.20750000000004,748.7935719210654,68425230,2.9854995374224287
2019,0.35528750000000003,45.85857142857145,748.7935719210654,68425230,2.9854995374224287
2019,0.259975,45.70142857142861,753.3554196245968,68693644,2.9853437766630746
2019,0.293775,45.65857142857146,753.3554196245968,68693644,2.9853437766630746
2019,0.191,46.38714285714292,753.3554196245968,68693644,2.9853437766630746
2019,0.2462,46.94142857142862,740.1100674271584,68693644,2.9853437766630746
2019,0.2760125,47.06714285714287,740.1100674271584,68693644,2.9853437766630746
2019,0.2570875,46.45285714285717,740.1100674271584,68693644,2.9853437766630746
2019,0.2762625,45.94142857142862,740.1100674271584,68693644,2.9853437766630746
2019,0.2606125,45.39000000000004,740.1100674271584,68693644,2.9853437766630746
2019,0.28873750000000004,42.696666666666715,755.8506161868572,69055176,2.9072084387054606
2019,0.30912500000000004,45.227142857142894,755.8506161868572,69055176,2.9072084387054606
2019,0.2904125,44.141111111111115,718.0421418827027,68045262,2.856303154858135
2019,0.330475,44.29444444444448,718.0421418827027,68045262,2.856303154858135
2019,0.29228750000000003,44.37666666666672,718.0421418827027,68045262,2.856303154858135
2019,0.29115,45.735000000000014,718.0421418827027,68045262,2.856303154858135
2019,0.23851250000000002,46.03750000000002,730.4280843548477,68233550,2.92221950431698
2019,0.2891,44.385555555555584,730.4280843548477,68233550,2.92221950431698
2019,0.282825,42.07400000000007,730.4280843548477,68233550,2.92221950431698
2019,0.2776,44.15750000000003,734.2506084796041,68233550,2.92221950431698
2019,0.30110000000000003,43.86250000000001,734.2506084796041,68233550,2.92221950431698
2019,0.3374625,43.400000000000034,761.8139457702637,68425230,2.9854995374224287
2019,0.3337875,43.77750000000003,761.8139457702637,68425230,2.9854995374224287
2019,0.3473625,43.82250000000005,761.8139457702637,68425230,2.9854995374224287
2019,0.30893750000000003,45.844285714285775,779.3380928225815,68425230,2.9854995374224287
2019,0.273175,46.51285714285717,779.3380928225815,68425230,2.9854995374224287
2019,0.2777875,46.0214285714286,779.3380928225815,68425230,2.9854995374224287
2019,0.254125,46.112857142857195,762.3371526710689,68693644,2.9853437766630746
2019,0.28823750000000004,46.15571428571428,762.3371526710689,68693644,2.9853437766630746
2019,0.20525000000000002,47.25857142857143,762.3371526710689,68693644,2.9853437766630746
2019,0.23668750000000002,47.20142857142861,779.1307782903314,68693644,2.9853437766630746
2019,0.270075,46.65285714285716,779.1307782903314,68693644,2.9853437766630746
2019,0.2247625,43.72500000000002,752.0621133632958,69055176,2.9072084387054606
2019,0.2612125,43.921111111111145,718.0421418827027,68045262,2.856303154858135
2019,0.2861375,42.60000000000002,730.4280843548477,68233550,2.92221950431698
2019,0.29185,42.298,734.2506084796041,68233550,2.92221950431698
2019,0.26811250000000003,42.214000000000055,734.2506084796041,68233550,2.92221950431698
