LandCover_Class,Area_2024_sqm
Tree cover,54341603921.56854
Grassland,22195565686.274517
Cropland,44206047058.82349
Built-up,832056862.7450981
Bare / sparse vegetation,15000000.0
Permanent water bodies,340979411.7647059
