LandCover_Class,Area_2017_sqm,Area_2024_sqm,Change_sqm,Change_percent
Grassland,16823507843.13724,22195565686.274517,5372057843.137278,31.93185329258597
Bare / sparse vegetation,7750000.0,15000000.0,7250000.0,93.54838709677419
Built-up,875670588.2352943,832056862.7450981,-43613725.49019623,-4.980608698767571
Permanent water bodies,421229411.7647059,340979411.7647059,-80250000.0,-19.051376223659037
Tree cover,55265709803.92154,54341603921.56854,-924105882.3529968,-1.6721143827368778
Cropland,48479135294.1176,44206047058.82349,-4273088235.294113,-8.81428311245602
