,EVI,NDRE,NDVI,date
count,20.0,20.0,20.0,20
mean,0.8162300487261988,0.2550936253877735,0.37877118205511373,2023-02-05 22:48:00
min,-9.187373987665744,0.10995344288984749,0.15659577798285812,2023-01-16 00:00:00
25%,-1.2388657516652524,0.21723077154541176,0.3207166202213967,2023-02-07 00:00:00
50%,0.7973582285507004,0.24743051662215176,0.37366322263177976,2023-02-09 00:00:00
75%,1.4846597747578376,0.3039381277595999,0.4465712298973856,2023-02-09 00:00:00
max,20.243697381234217,0.5042835949552458,0.7537782826519493,2023-02-09 00:00:00
std,5.369432983473024,0.09001069824152753,0.13591328868476418,
